set_type,instance_name,instance_file,note_trials,repeat_id,seed,best_cost,opt_cost,error_percent,time_ms
TSP,eil51,data/tsp/eil51.tsp,2000,3,212348,1308,426,207.042,9.97985
TSP,eil51,data/tsp/eil51.tsp,2000,4,212349,1375,426,222.77,9.96507
TSP,eil51,data/tsp/eil51.tsp,2000,5,212350,1313,426,208.216,10.1133
TSP,eil51,data/tsp/eil51.tsp,5000,1,512346,1298,426,204.695,25.0474
TSP,eil51,data/tsp/eil51.tsp,5000,2,512347,1307,426,206.808,25.0287
TSP,eil51,data/tsp/eil51.tsp,5000,3,512348,1336,426,213.615,25.1075
TSP,eil51,data/tsp/eil51.tsp,5000,4,512349,1345,426,215.728,26.1016
TSP,eil51,data/tsp/eil51.tsp,5000,5,512350,1309,426,207.277,24.9178
TSP,eil51,data/tsp/eil51.tsp,10000,1,1012346,1290,426,202.817,49.583
TSP,eil51,data/tsp/eil51.tsp,10000,2,1012347,1334,426,213.146,49.5321
TSP,eil51,data/tsp/eil51.tsp,10000,3,1012348,1222,426,186.854,49.8428
TSP,eil51,data/tsp/eil51.tsp,10000,4,1012349,1226,426,187.793,49.8729
TSP,eil51,data/tsp/eil51.tsp,10000,5,1012350,1285,426,201.643,49.6147
TSP,eil51,data/tsp/eil51.tsp,20000,1,2012346,1189,426,179.108,98.8973
TSP,eil51,data/tsp/eil51.tsp,20000,2,2012347,1294,426,203.756,98.9669
TSP,eil51,data/tsp/eil51.tsp,20000,3,2012348,1297,426,204.46,99.0103
TSP,eil51,data/tsp/eil51.tsp,20000,4,2012349,1287,426,202.113,99.343
TSP,eil51,data/tsp/eil51.tsp,20000,5,2012350,1300,426,205.164,99.009
TSP,eil51,data/tsp/eil51.tsp,50000,1,5012346,1270,426,198.122,247.234
TSP,eil51,data/tsp/eil51.tsp,50000,2,5012347,1269,426,197.887,247.537
TSP,eil51,data/tsp/eil51.tsp,50000,3,5012348,1281,426,200.704,246.796
TSP,eil51,data/tsp/eil51.tsp,50000,4,5012349,1275,426,199.296,247.7
TSP,eil51,data/tsp/eil51.tsp,50000,5,5012350,1261,426,196.009,246.656
TSP,eil51,data/tsp/eil51.tsp,500000,1,50012346,1204,426,182.629,2488.55
TSP,eil51,data/tsp/eil51.tsp,500000,2,50012347,1224,426,187.324,2516.25
TSP,eil51,data/tsp/eil51.tsp,500000,3,50012348,1237,426,190.376,2468.25
TSP,eil51,data/tsp/eil51.tsp,500000,4,50012349,1226,426,187.793,2509.77
TSP,eil51,data/tsp/eil51.tsp,500000,5,50012350,1205,426,182.864,2565.38
TSP,eil51,data/tsp/eil51.tsp,2000000,1,200012346,1183,426,177.7,10203.3
TSP,eil51,data/tsp/eil51.tsp,2000000,2,200012347,1196,426,180.751,9946.51
TSP,eil51,data/tsp/eil51.tsp,2000000,3,200012348,1204,426,182.629,9835.95
TSP,eil51,data/tsp/eil51.tsp,2000000,4,200012349,1150,426,169.953,9839.2
TSP,eil51,data/tsp/eil51.tsp,2000000,5,200012350,1223,426,187.089,9870.88
ATSP,br17,data/atsp/br17.atsp,100,1,22346,95,39,143.59,0.17987
ATSP,br17,data/atsp/br17.atsp,100,2,22347,107,39,174.359,0.178898
ATSP,br17,data/atsp/br17.atsp,100,3,22348,121,39,210.256,0.177385
ATSP,br17,data/atsp/br17.atsp,100,4,22349,116,39,197.436,0.179809
ATSP,br17,data/atsp/br17.atsp,100,5,22350,92,39,135.897,0.177795
ATSP,br17,data/atsp/br17.atsp,500,1,62346,84,39,115.385,0.882214
